Lane,Lib,Type,ReadLength,Volume/G,NoneN_Bases,SingleReadsCount,VolumeRatio/%,OnemisRatio/%,QualifiedRatio/%,DiscardRatio/%,GC/%,Q20/%,Q30/%,R1_GC/%,R2_GC/%,R1_Q20/%,R2_Q20/%,R1_Q30/%,R2_Q30/%
1,Undetermined,PE,100,4.93,NA,49304580,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,HUMRNIULDPEI-526-v109,PE,100,3.50,3.4944e+09,34979390,3.58,2.60,100.00,0.00,50.43,97.44,90.65,50.37,50.48,97.85,97.02,91.62,89.68
1,HUMRNIUKJPEI-506-v109,PE,100,3.45,3.4432e+09,34466076,3.53,2.79,100.00,0.00,51.14,96.95,89.29,51.05,51.23,97.61,96.29,90.86,87.73
1,HUMRNIULPPEI-538-v109,PE,100,3.71,3.7075e+09,37111584,3.80,1.65,100.00,0.00,49.21,97.11,89.55,49.15,49.26,97.47,96.76,90.34,88.75
1,HUMRNIUKIPEI-505-v109,PE,100,0.03,2.5509e+07,255356,0.03,2.42,100.00,0.00,50.86,97.55,91.04,50.88,50.85,97.84,97.26,91.68,90.40
1,HUMRNIUKQPEI-513-v109,PE,100,0.22,2.1890e+08,2191178,0.22,1.82,100.00,0.00,47.64,97.14,89.65,47.64,47.65,97.47,96.82,90.34,88.96
1,HUMRNIULIPEI-531-v109,PE,100,0.48,4.8279e+08,4832728,0.49,2.15,100.00,0.00,51.78,97.03,89.58,51.78,51.77,97.67,96.39,91.09,88.07
1,HUMRNIULKPEI-533-v109,PE,100,0.53,5.2848e+08,5290028,0.54,2.81,100.00,0.00,50.78,97.16,89.83,50.67,50.89,97.61,96.72,90.84,88.82
1,HUMRNIULHPEI-530-v109,PE,100,3.97,3.9673e+09,39713540,4.07,3.20,100.00,0.00,49.41,97.03,89.41,49.30,49.53,97.58,96.49,90.70,88.13
1,HUMRNIUKUPEI-517-v109,PE,100,0.47,4.6837e+08,4688378,0.48,3.65,100.00,0.00,51.19,97.06,89.55,51.09,51.28,97.62,96.51,90.87,88.23
1,HUMRNIULCPEI-525-v109,PE,100,2.15,2.1451e+09,21473170,2.20,2.64,100.00,0.00,48.38,97.06,89.54,48.33,48.44,97.67,96.46,90.97,88.11
1,HUMRNIULMPEI-535-v109,PE,100,3.81,3.8058e+09,38096646,3.90,1.88,100.00,0.00,49.06,97.07,89.60,48.91,49.21,97.60,96.54,90.80,88.40
1,HUMRNIULQPEI-539-v109,PE,100,3.86,3.8556e+09,38595558,3.95,2.44,100.00,0.00,48.46,96.96,89.23,48.41,48.50,97.55,96.38,90.63,87.82
1,HUMRNIULFPEI-528-v109,PE,100,3.90,3.8988e+09,39028244,4.00,5.93,100.00,0.00,48.54,97.22,89.84,48.40,48.68,97.66,96.79,90.92,88.77
1,HUMRNIUKSPEI-515-v109,PE,100,0.19,1.9112e+08,1913204,0.20,2.43,100.00,0.00,48.08,97.38,90.46,48.16,48.00,97.72,97.05,91.18,89.75
