Lane,Lib,Type,ReadLength,Volume/G,NoneN_Bases,SingleReadsCount,VolumeRatio/%,OnemisRatio/%,QualifiedRatio/%,DiscardRatio/%,GC/%,Q20/%,Q30/%,R1_GC/%,R2_GC/%,R1_Q20/%,R2_Q20/%,R1_Q30/%,R2_Q30/%
L001,Undetermined,PE,50,4.83,NA,96530818,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L001,18D0178196-1-11,PE,50,5.46,5.4444e+09,109248324,7.42,3.21,100.00,0.00,41.15,98.16,92.65,41.14,41.16,99.14,97.17,94.68,90.62
L001,18D0178194-1-9,PE,50,7.18,7.1531e+09,143537988,9.75,2.33,99.99,0.01,41.29,97.48,89.86,41.20,41.38,98.21,96.75,90.21,89.51
L001,18D0178186-1-1,PE,50,6.84,6.8153e+09,136756780,9.29,2.34,100.00,0.00,41.21,97.96,91.65,41.17,41.25,98.73,97.18,93.03,90.27
L001,18D0178195-1-10,PE,50,5.56,5.5428e+09,111227298,7.55,3.53,99.99,0.01,41.24,97.95,91.65,41.11,41.37,98.91,96.99,93.41,89.88
L001,18D0178191-1-6,PE,50,2.95,2.9360e+09,58914626,4.00,3.23,100.00,0.00,41.21,97.83,91.54,41.11,41.31,98.74,96.91,93.16,89.92
L001,18D0178187-1-2,PE,50,7.33,7.3075e+09,146642546,9.96,2.46,99.99,0.01,41.04,97.88,91.51,40.98,41.11,98.86,96.91,93.35,89.68
L001,18D0178193-1-8,PE,50,6.18,6.1583e+09,123650152,8.40,2.64,99.83,0.17,41.41,97.90,91.50,41.29,41.52,98.90,96.90,93.44,89.56
L001,18D0178188-1-3,PE,50,7.34,7.3182e+09,146851162,9.97,2.82,100.00,0.00,40.80,98.18,92.22,40.73,40.87,98.99,97.37,93.73,90.71
L001,18D0178190-1-5,PE,50,6.79,6.7717e+09,135885762,9.23,2.43,100.00,0.00,41.04,97.94,91.76,40.98,41.10,98.95,96.92,93.79,89.72
L001,18D0178189-1-4,PE,50,7.21,7.1876e+09,144228452,9.79,2.69,100.00,0.00,41.03,98.09,92.38,41.01,41.05,99.07,97.12,94.33,90.43
L001,18D0178192-1-7,PE,50,5.97,5.9480e+09,119355902,8.10,3.11,100.00,0.00,41.15,97.99,92.00,41.11,41.20,99.00,96.98,93.98,90.02
L001,Total,PE,50,73.64,NA,1472829810,100.00,NA,99.98,0.02,41.13,97.94,91.69,41.07,41.20,98.86,97.02,93.34,90.03
L002,Undetermined,PE,50,18.25,NA,364969012,24.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L002,18D0178203-1-18,PE,50,6.33,6.3116e+09,126620278,8.52,2.44,100.00,0.00,41.46,97.95,91.61,41.37,41.56,99.01,96.90,93.59,89.63
L002,18D0178197-1-12,PE,50,5.19,5.1704e+09,103724484,6.98,3.88,100.00,0.00,41.66,97.72,91.08,41.53,41.79,98.99,96.45,93.58,88.58
L002,18D0178202-1-17,PE,50,2.78,2.7675e+09,55519590,3.74,2.38,100.00,0.00,40.84,97.87,91.30,40.73,40.95,98.85,96.89,92.84,89.75
L002,18D0178201-1-16,PE,50,6.06,6.0377e+09,121127460,8.15,2.70,99.99,0.01,41.44,98.04,92.14,41.36,41.51,99.09,96.99,94.14,90.14
L002,18D0178199-1-14,PE,50,7.48,7.4547e+09,149553968,10.06,1.99,100.00,0.00,41.25,98.02,91.82,41.23,41.28,99.01,97.04,93.59,90.05
L002,18D0178204-1-19,PE,50,7.81,7.7884e+09,156248892,10.51,2.16,100.00,0.00,40.62,98.04,91.92,40.56,40.69,98.89,97.18,93.45,90.39
L002,18D0178205-1-20,PE,50,6.21,6.1907e+09,124194796,8.36,3.65,100.00,0.00,41.13,98.07,92.09,41.10,41.17,99.11,97.03,94.18,90.00
L002,18D0178200-1-15,PE,50,6.86,6.8407e+09,137235802,9.23,1.65,100.00,0.00,41.12,98.00,91.68,41.10,41.15,99.03,96.97,93.74,89.62
L002,18D0178198-1-13,PE,50,7.36,7.3395e+09,147241742,9.91,2.64,100.00,0.00,41.13,98.14,92.23,41.11,41.15,98.90,97.39,93.52,90.94
L002,Total,PE,50,74.32,NA,1486436024,100.00,NA,100.00,0.00,41.18,98.00,91.82,41.12,41.24,98.99,97.01,93.67,89.97
