Lib,Type,ReadLength,Volume/G,VolumeRatio/%,OnemisRatio/%,QualifiedRatio/%,GC/%,Q20/%,Q30/%,SingleReadsCount/M
Undetermined,PE,50,23.07,15.60,NA,NA,NA,NA,NA,461.50
18D0178195-1-10,PE,50,5.56,3.76,3.53,99.99,41.24,97.95,91.65,111.23
18D0178189-1-4,PE,50,7.21,4.87,2.69,100.00,41.03,98.09,92.38,144.23
18D0178193-1-8,PE,50,6.18,4.18,2.64,99.83,41.41,97.90,91.50,123.65
18D0178190-1-5,PE,50,6.79,4.59,2.43,100.00,41.04,97.94,91.76,135.89
18D0178187-1-2,PE,50,7.33,4.96,2.46,99.99,41.04,97.88,91.51,146.64
18D0178191-1-6,PE,50,2.95,1.99,3.23,100.00,41.21,97.83,91.54,58.91
18D0178192-1-7,PE,50,5.97,4.03,3.11,100.00,41.15,97.99,92.00,119.36
18D0178186-1-1,PE,50,6.84,4.62,2.34,100.00,41.21,97.96,91.65,136.76
18D0178188-1-3,PE,50,7.34,4.96,2.82,100.00,40.80,98.18,92.22,146.85
18D0178194-1-9,PE,50,7.18,4.85,2.33,99.99,41.29,97.48,89.86,143.54
18D0178196-1-11,PE,50,5.46,3.69,3.21,100.00,41.15,98.16,92.65,109.25
18D0178201-1-16,PE,50,6.06,4.09,2.70,99.99,41.44,98.04,92.14,121.13
18D0178197-1-12,PE,50,5.19,3.51,3.88,100.00,41.66,97.72,91.08,103.72
18D0178199-1-14,PE,50,7.48,5.05,1.99,100.00,41.25,98.02,91.82,149.55
18D0178200-1-15,PE,50,6.86,4.64,1.65,100.00,41.12,98.00,91.68,137.24
18D0178205-1-20,PE,50,6.21,4.20,3.65,100.00,41.13,98.07,92.09,124.19
18D0178203-1-18,PE,50,6.33,4.28,2.44,100.00,41.46,97.95,91.61,126.62
18D0178204-1-19,PE,50,7.81,5.28,2.16,100.00,40.62,98.04,91.92,156.25
18D0178198-1-13,PE,50,7.36,4.98,2.64,100.00,41.13,98.14,92.23,147.24
18D0178202-1-17,PE,50,2.78,1.88,2.38,100.00,40.84,97.87,91.30,55.52
CL100051333_Total,PE,50,147.96,100.00,NA,99.99,41.15,97.97,91.75,2959.27
